,,total,pct_pce,pct_windc
entert,ppd,500,0.052124055,1.099239326
entert,pri,752,0.078394579,5.890185635
entert,che,5481,0.571383894,0.911861688
entert,pla,1411,0.147094084,2.108991989
entert,pub,62723,6.538754235,52.27657251
entert,brd,104742,10.91915559,31.2760716
entert,rnt,9895,1.031535053,9.981036535
entert,tsv,38425,4.005733646,59.88840573
entert,adm,16043,1.672452437,26.69384359
entert,edu,15896,1.657127965,5.810217591
entert,art,57523,5.99666406,99.12289771
entert,rec,182482,19.0234037,100
entert,amd,7473,0.77904613,4.906795186
entert,osv,22967,2.394266354,5.234345621
entert,use,10871,1.133281209,6.46313912
entert,ote,6131,0.639145165,18.27476229
entert,sle,26864,2.800521241,38.43754471
entert,air,9,0.000938233,0.007502751
entert,dat,25077,2.614229867,51.60301259
entert,mov,30159,3.144018765,88.95935343
elec,uti,177040,100,68.02088576
natural_gas,uti,43846,100,16.84615769
fuel_oil,min,33,0.20697441,13.36032389
fuel_oil,wpd,616,3.863522328,5.954567424
fuel_oil,pet,14782,92.71199197,5.382553855
fuel_oil,che,513,3.21751129,0.08534666
telephone,cep,27978,10.81705954,16.95893317
telephone,brd,230153,88.98344075,68.7239284
telephone,rnt,27,0.010438938,0.027234764
telephone,adm,208,0.080418485,0.34608985
telephone,amd,281,0.108642281,0.184505479
water,uti,39387,41.98458636,15.13295655
water,wst,23882,25.45702621,100
water,sle,30544,32.55838743,43.7029618
shelter,ins,10288,0.502209125,2.824356229
shelter,amd,1924,0.093920136,1.263304421
shelter,hou,2036337,99.40387074,100
oper_furnish,min,156,0.022304386,63.15789474
oper_furnish,wpd,9218,1.317960464,89.10584824
oper_furnish,nmp,21521,3.077004464,99.49607027
oper_furnish,pmt,983,0.140546229,93.17535545
oper_furnish,fmt,15228,2.177251242,36.92352456
oper_furnish,mch,14673,2.097899098,75.89221061
oper_furnish,cep,3084,0.440940559,1.869374148
oper_furnish,eec,66029,9.440617431,76.12026331
oper_furnish,fpd,110528,15.80294361,100
oper_furnish,mmf,23853,3.410426443,9.863540504
oper_furnish,tex,63403,9.065160263,86.6931018
oper_furnish,alt,971,0.138830507,0.25109255
oper_furnish,ppd,27438,3.922998396,60.32185727
oper_furnish,pri,5115,0.73132651,40.06422809
oper_furnish,che,38032,5.437694985,6.32729862
oper_furnish,pla,29739,4.251988093,44.45025708
oper_furnish,trk,11315,1.617782887,100
oper_furnish,wrh,168,0.024020108,100
oper_furnish,ore,5937,0.848853469,100
oper_furnish,rnt,7815,1.117363965,7.882951038
oper_furnish,leg,99919,14.28610237,100
oper_furnish,tsv,25736,3.679651823,40.11159427
oper_furnish,adm,39187,5.602833229,65.20299501
oper_furnish,osv,71311,10.19582107,16.25229332
oper_furnish,use,3050,0.436079346,1.813317479
oper_furnish,air,32,0.004575259,0.026676448
oper_furnish,wtt,7,0.001000838,0.035387493
oper_furnish,ott,4966,0.710022962,100
vacation_home_q,amd,141383,148.8289104,92.83252024
vacation_home_q,oth,-92408,-97.27465078,100
vacation_home_q,air,27868,29.33566323,23.23185168
vacation_home_q,wtt,18154,19.11007716,91.77493554
tran_fuel,pet,258930,99.99343495,94.28390404
tran_fuel,che,17,0.00656505,0.002828252
veh_mainten,nmp,109,0.031502526,0.503929727
veh_mainten,pmt,40,0.01156056,3.791469194
veh_mainten,fmt,1155,0.33381117,2.800543136
veh_mainten,cep,55,0.01589577,0.033338385
veh_mainten,eec,5247,1.516456457,6.048903082
veh_mainten,mot,32532,9.402203443,9.967308747
veh_mainten,mmf,518,0.149709252,0.214200058
veh_mainten,che,379,0.109536306,0.063053381
veh_mainten,pla,30330,8.765794615,45.33361234
veh_mainten,rnt,76715,22.171709,77.38203313
veh_mainten,edu,51,0.014739714,0.018641237
veh_mainten,osv,171884,49.67688235,39.17360834
veh_mainten,use,1224,0.353753136,0.727705113
veh_mainten,otr,13283,3.83897296,59.09070688
veh_mainten,sle,12482,3.607472746,17.85949349
veh_finance,bnk,236491,33.95454082,100
veh_finance,sec,228471,32.8030576,100
veh_finance,ins,71622,10.28323328,19.66232911
veh_finance,fen,150,0.021536469,2.281368821
veh_finance,fin,159759,22.93763182,100
veh_serv2,fmt,13,0.002081665,0.031521265
veh_serv2,mch,57,0.009127302,0.29481742
veh_serv2,eec,56,0.008967174,0.064558523
veh_serv2,mot,293855,47.05444355,90.03269125
veh_serv2,pla,2571,0.411689351,3.842819562
veh_serv2,adm,4662,0.746517214,7.757071547
veh_serv2,fen,6425,1.028823058,97.71863118
veh_serv2,use,144530,23.14331465,85.9274673
veh_serv2,ote,27418,4.390392314,81.72523771
veh_serv2,grd,41181,6.594235388,100
veh_serv2,otr,9196,1.47253803,40.90929312
veh_serv2,air,91675,14.6797438,76.42385541
veh_serv2,trn,1241,0.198718975,87.21011947
veh_serv2,wtt,1620,0.259407526,8.189676963
